Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,19189240447.5269,19712059624.7321,19998143635.873,20450164516.4719,20991481026.0286,21241117622.9537,22071985906.2168,21553051296.9328,17091569679.7671,..
Afghanistan,AFG,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..,..,..,..,..,..,..,3.06798005104065,..
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.39949083328247,-1.35930466651917,-1.39618384838104,-1.29025280475616,-1.38897216320038,-1.50134539604187,-1.51861417293549,-1.60950922966003,-1.66956210136414,-1.87955236434937
Afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,3.46678830410982,3.65757606530364,3.12134122890873,2.58154939895659,2.86649214750073,2.88520797304849,2.90852909268743,3.13474690779163,2.85135765449931,2.53449831666733
Afghanistan,AFG,"Population, total",SP.POP.TOTL,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,AFG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.489964677117366,0.470845775464021,0.50292618070602,0.454516147902539,0.477468930733004,0.516563214552466,0.50918979595916,0.404094523787425,..,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,10945472015.6969,11139693818.2915,11386853143.152,11764325125.3449,12211675202.0003,12702504633.9887,12967696347.088,12539492375.1873,13656576541.706,14318133324.6211
Albania,ALB,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.323875933885574,-0.0489184409379959,0.0282399524003267,0.0298212617635727,0.0987358614802361,0.0806501731276512,-0.0621441006660461,-0.154880329966545,-0.0353600680828094,0.0650628432631493
Albania,ALB,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.28980006505826
Albania,ALB,"Population, total",SP.POP.TOTL,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2775634
Albania,ALB,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.438117240912309,0.465721956512059,0.421275302288842,0.388734581140364,0.442502761546988,0.418508015007956,0.38505682631297,0.349551630070234,..,..
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,154197602314.606,160057111202.821,165979224316.667,171290559494.911,173517336768.206,175599544810.275,177355540257.925,168310407704.439,174032961566.966,179427983375.303
Algeria,DZA,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.430986166000366,-0.339201897382736,-0.410823673009872,-0.464160442352295,-0.536838710308075,-0.488373935222626,-0.56773042678833,-0.573433458805084,-0.653295338153839,-0.513090252876282
Algeria,DZA,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.9667158178046,1.97904881035906,1.99994605069585,1.99343168879913,1.95700247075081,1.9033254281097,1.83944488568624,1.73245672803153,1.65770320084269,1.62833925417918
Algeria,DZA,"Population, total",SP.POP.TOTL,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
Algeria,DZA,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.901597028184341,0.923015534203872,0.941521450310258,0.902876962139845,0.908868260297648,0.936984775090215,0.961810382421239,0.959910930069827,..,..
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,660670229.007634,648340458.015267,..
American Samoa,ASM,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.487086772918701,0.438977479934692,0.443229764699936,0.48297905921936,0.510402023792267,0.498739510774612,0.490093946456909,0.632899343967438,0.639231383800507,0.667918145656586
American Samoa,ASM,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-1.30478202241628,-1.47894571116667,-1.63927018758043,-1.80723076890422,-1.97181874740715,-2.12293567392473,-2.30413869890523,-2.4212497099907,-2.53017092647207,-1.70649548061895
American Samoa,ASM,"Population, total",SP.POP.TOTL,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273
American Samoa,ASM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2683235436.47838,2750436142.83613,2789881258.60547,2893376871.82913,2903390035.8436,2949518094.78664,3008967037.09274,2672445970.98414,2893916907.64115,3148858813.89707
Andorra,AND,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,32.681079864502,32.4202499389648,32.229190826416,..,..,..,..,..,37.6311798095703
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.53268504142761,1.71228265762329,1.74090492725372,1.80549323558807,1.87640738487244,1.87926542758942,1.85206508636475,1.74941408634186,1.74925327301025,1.49530494213104
Andorra,AND,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.497261875887559,0.355274942185653,0.174377690367456,1.10060298979862,1.77218271287863,1.58014708656145,1.75749125736997,1.76189129507448,1.70228822534561,0.994607149162366
